"cluster" "jaccard" "cohort"
"D_14" 0.22007722007722 "D"
"D_14" 0.210826210826211 "D"
"D_15" 0.149122807017544 "D"
"D_15" 0.121739130434783 "D"
"D_15" 0.120879120879121 "D"
"D_15" 0.114583333333333 "D"
"D_15" 0.106870229007634 "D"
"D_16" 0.132352941176471 "D"
"D_16" 0.128712871287129 "D"
"D_16" 0.118483412322275 "D"
"D_16" 0.112781954887218 "D"
"D_16" 0.112068965517241 "D"
"D_17" 0.248 "D"
"D_17" 0.191528545119705 "D"
"D_17" 0.184313725490196 "D"
"D_17" 0.182108626198083 "D"
"D_17" 0.1756374 "D"
"D_18" 0.135416666666667 "D"
"D_18" 0.102040816326531 "D"
"D_18" 0.0927835051546392 "D"
"D_18" 0.0892857142857143 "D"
"D_18" 0.0871369294605809 "D"
"D_19" 0.327272727272727 "D"
"D_19" 0.319311663479924 "D"
"D_19" 0.294117647058824 "D"
"D_19" 0.28587962962963 "D"
"D_19" 0.274725274725275 "D"
"D_2" 0.326660600545951 "D"
"D_2" 0.312590448625181 "D"
"D_2" 0.266471449487555 "D"
"D_2" 0.262015503875969 "D"
"D_2" 0.246938775510204 "D"
"D_20" 0.256267409470752 "D"
"D_20" 0.25 "D"
"D_20" 0.2429577 "D"
"D_20" 0.2058288 "D"
"D_20" 0.200231481481481 "D"
"D_21" 0.282282282282282 "D"
"D_21" 0.253886010362694 "D"
"D_21" 0.231788079470199 "D"
"D_21" 0.216911764705882 "D"
"D_21" 0.207692307692308 "D"
"D_22" 0.274678111587983 "D"
"D_22" 0.242424242424242 "D"
"D_22" 0.1411765 "D"
"D_22" 0.1371158 "D"
"D_22" 0.109053497942387 "D"
"D_3" 0.181102362204724 "D"
"D_3" 0.171428571428571 "D"
"D_3" 0.163636363636364 "D"
"D_3" 0.160839160839161 "D"
"D_3" 0.16030534351145 "D"
"D_4" 0.134545454545455 "D"
"D_4" 0.111888111888112 "D"
"D_4" 0.109677419354839 "D"
"D_4" 0.10948905109489 "D"
"D_4" 0.104972375690608 "D"
"D_5" 0.114369501466276 "D"
"D_5" 0.101694915254237 "D"
"D_5" 0.0919793966151582 "D"
"D_5" 0.0847457627118644 "D"
"D_5" 0.0836501901140684 "D"
"D_6" 0.282828282828283 "D"
"D_6" 0.252427184466019 "D"
"D_6" 0.242424242424242 "D"
"D_6" 0.238095238095238 "D"
"D_6" 0.222222222222222 "D"
"D_7" 0.233160621761658 "D"
"D_7" 0.169934640522876 "D"
"D_7" 0.137755102040816 "D"
"D_7" 0.1376147 "D"
"D_7" 0.135593220338983 "D"
"D_8" 0.210526315789474 "D"
"D_8" 0.202247191011236 "D"
"D_8" 0.175257731958763 "D"
"D_8" 0.174129353233831 "D"
"D_8" 0.167381974248927 "D"
"D_9" 0.201612903225806 "D"
"D_9" 0.169230769230769 "D"
"D_9" 0.16412213740458 "D"
"D_9" 0.161538461538462 "D"
"D_9" 0.155688622754491 "D"
"E_0" 0.363387978142077 "E"
"E_0" 0.293762575452716 "E"
"E_0" 0.282282282282282 "E"
"E_0" 0.252475247524752 "E"
"E_0" 0.20066889632107 "E"
"E_1" 0.343333333333333 "E"
"E_1" 0.235294117647059 "E"
"E_1" 0.226415094339623 "E"
"E_1" 0.221518987341772 "E"
"E_1" 0.217391304347826 "E"
"E_10" 0.178294573643411 "E"
"E_10" 0.17192429022082 "E"
"E_10" 0.143262411347518 "E"
"E_10" 0.123015873015873 "E"
"E_10" 0.118243243243243 "E"
"E_11" 0.274725274725275 "E"
"E_11" 0.2710027100271 "E"
"E_11" 0.132478632478632 "E"
"E_11" 0.131313131313131 "E"
"E_11" 0.131067961165049 "E"
"E_12" 0.352226720647773 "E"
"E_12" 0.280952380952381 "E"
"E_12" 0.2767442 "E"
"E_12" 0.273542600896861 "E"
"E_12" 0.266075388026608 "E"
"E_13" 0.166666666666667 "E"
"E_13" 0.08974359 "E"
"E_13" 0.0846153846153846 "E"
"E_13" 0.0462962962962963 "E"
"E_13" 0.0405405405405405 "E"
"E_14" 0.274678111587983 "E"
"E_14" 0.194871794871795 "E"
"E_14" 0.1802575 "E"
"E_14" 0.1434783 "E"
"E_14" 0.128014842300557 "E"
"E_2" 0.246203405430281 "E"
"E_2" 0.241396761133603 "E"
"E_2" 0.15375918598078 "E"
"E_2" 0.126551538046411 "E"
"E_2" 0.126487163431434 "E"
"E_3" 0.203389830508475 "E"
"E_3" 0.195476575121163 "E"
"E_3" 0.192219679633867 "E"
"E_3" 0.163212435233161 "E"
"E_3" 0.154761904761905 "E"
"E_4" 0.360515021459227 "E"
"E_4" 0.326164874551971 "E"
"E_4" 0.321782178217822 "E"
"E_4" 0.313846153846154 "E"
"E_4" 0.304932735426009 "E"
"E_5" 0.29535864978903 "E"
"E_5" 0.287292817679558 "E"
"E_5" 0.227488151658768 "E"
"E_5" 0.224066390041494 "E"
"E_5" 0.22258064516129 "E"
"E_6" 0.358574610244989 "E"
"E_6" 0.329218106995885 "E"
"E_6" 0.315724815724816 "E"
"E_6" 0.315436241610738 "E"
"E_6" 0.297898640296663 "E"
"E_7" 0.321608040201005 "E"
"E_7" 0.3125 "E"
"E_7" 0.298795180722891 "E"
"E_7" 0.297897196261682 "E"
"E_7" 0.296969696969697 "E"
"E_8" 0.348314606741573 "E"
"E_8" 0.2566372 "E"
"E_8" 0.222873900293255 "E"
"E_8" 0.218253968253968 "E"
"E_8" 0.20873786407767 "E"
"E_9" 0.188496583143508 "E"
"E_9" 0.170580964153276 "E"
"E_9" 0.158308751229105 "E"
"E_9" 0.157313707451702 "E"
"E_9" 0.156862745098039 "E"
"F_0" 0.327272727272727 "F"
"F_0" 0.303359683794466 "F"
"F_0" 0.269776876267748 "F"
"F_0" 0.267840593141798 "F"
"F_0" 0.2461257976299 "F"
"F_1" 0.317241379310345 "F"
"F_1" 0.3122172 "F"
"F_1" 0.288770053475936 "F"
"F_1" 0.281768 "F"
"F_1" 0.28125 "F"
"F_2" 0.141176470588235 "F"
"F_2" 0.135802469135802 "F"
"F_2" 0.12 "F"
"F_2" 0.115702479338843 "F"
"F_2" 0.111111111111111 "F"
"F_3" 0.2 "F"
"F_3" 0.184210526315789 "F"
"F_3" 0.175438596491228 "F"
"F_3" 0.174603174603175 "F"
"F_3" 0.163636363636364 "F"
"F_4" 0.0222222222222222 "F"
"F_4" 0.0136986301369863 "F"
"F_4" 0.00518134715025907 "F"
"F_4" 0.00418410041841004 "F"
"F_4" 0.00413223140495868 "F"
"F_5" 0.280701754385965 "F"
"F_5" 0.276595744680851 "F"
"F_5" 0.25974025974026 "F"
"F_5" 0.259259259259259 "F"
"F_5" 0.258064516129032 "F"
"F_6" 0.181818181818182 "F"
"F_6" 0.166666666666667 "F"
"F_6" 0.0954545454545454 "F"
"F_6" 0.0779727095516569 "F"
"F_6" 0.07476636 "F"
"F_7" 0.220149253731343 "F"
"F_7" 0.1982379 "F"
"F_7" 0.189189189189189 "F"
"F_7" 0.187725631768953 "F"
"F_7" 0.18348623853211 "F"
"G_-1" 0.02272727 "G"
